repo_name,week,commit_sha,dependency,version,concreteVersion,dependency_type
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,qs,^6.11.0,6.13.0,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,ts-jest,^29.0.3,29.2.5,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W41,9188487e55b10045c071a7821049b40e93275bdd,typescript,^4.9.4,4.9.5,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@nowarp/misti,~0.5.0,0.5.0,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@tact-lang/compiler,~1.5.0,1.5.2,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@ton/core,~0.56.3,0.56.3,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@ton/crypto,^3.2.0,3.3.0,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@ton/sandbox,^0.20.0,0.20.0,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@ton/test-utils,^0.4.2,0.4.2,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@ton/ton,^13.9.0,13.11.2,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@types/jest,^29.2.4,29.5.14,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@types/node,^18.11.14,18.19.63,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,@types/qs,^6.9.7,6.9.16,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,base64url,^3.0.1,3.0.1,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,qs,^6.11.0,6.13.0,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,ts-jest,^29.0.3,29.2.5,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W44,242db98be3c12cec2152d19960b45b869cbe6d06,typescript,^4.9.4,4.9.5,normal
