repo_name,week,commits,lines_added,contributors
davidgasquez/dotfiles,2023-W18,1,0,1
davidgasquez/dotfiles,2023-W15,6,0,1
davidgasquez/dotfiles,2023-W05,2,0,1
davidgasquez/dotfiles,2023-W04,2,0,1
davidgasquez/dotfiles,2023-W02,2,0,1
davidgasquez/dotfiles,2022-W51,2,0,1
davidgasquez/dotfiles,2022-W50,3,0,1
davidgasquez/dotfiles,2022-W44,1,0,1
davidgasquez/dotfiles,2022-W41,3,0,1
davidgasquez/dotfiles,2022-W40,1,0,1
davidgasquez/dotfiles,2022-W39,4,0,1
davidgasquez/dotfiles,2022-W38,1,0,1
davidgasquez/dotfiles,2022-W36,1,0,1
davidgasquez/dotfiles,2022-W35,2,0,1
davidgasquez/dotfiles,2022-W32,1,0,1
davidgasquez/dotfiles,2022-W29,1,0,1
davidgasquez/dotfiles,2022-W27,1,0,1
davidgasquez/dotfiles,2022-W26,5,0,1
davidgasquez/dotfiles,2022-W22,4,0,1
davidgasquez/dotfiles,2022-W20,5,0,1
davidgasquez/dotfiles,2022-W19,3,0,1
davidgasquez/dotfiles,2022-W18,7,0,1
davidgasquez/dotfiles,2022-W17,9,0,1
davidgasquez/dotfiles,2022-W16,4,0,1
davidgasquez/dotfiles,2022-W14,5,0,1
davidgasquez/dotfiles,2022-W10,2,0,1
davidgasquez/dotfiles,2022-W08,1,0,1
davidgasquez/dotfiles,2022-W05,1,0,1
davidgasquez/dotfiles,2022-W04,1,0,1
davidgasquez/dotfiles,2021-W51,1,0,1
davidgasquez/dotfiles,2021-W49,4,0,1
davidgasquez/dotfiles,2021-W48,2,0,1
davidgasquez/dotfiles,2021-W41,5,0,1
davidgasquez/dotfiles,2021-W39,5,0,1
davidgasquez/dotfiles,2021-W38,1,0,1
davidgasquez/dotfiles,2021-W37,2,0,1
davidgasquez/dotfiles,2021-W32,1,0,1
davidgasquez/dotfiles,2021-W29,1,0,1
davidgasquez/dotfiles,2021-W28,2,0,1
davidgasquez/dotfiles,2021-W26,2,0,1
davidgasquez/dotfiles,2021-W25,1,0,1
davidgasquez/dotfiles,2021-W19,3,0,1
davidgasquez/dotfiles,2021-W15,1,0,1
davidgasquez/dotfiles,2021-W14,1,0,1
davidgasquez/dotfiles,2021-W13,1,0,1
