repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
Scrapybara/codecapy,1,97.2972972972973,2025-01-21T21:09:31
MDGrey33/pyvisionai,2,97.27891156462584,2025-01-25T09:58:21
ryanwelcher/block-developer-cookbook,2,97.25490196078431,2025-02-06T10:08:44
MaggieAppleton/maggieappleton.com-V3,5,97.19626168224299,2025-03-21T11:33:42
sadmann7/diceui,5,97.16466739367503,2024-11-24T02:02:14
eastlondoner/cursor-tools,43,97.08333333333333,2025-01-13T10:01:13
hzqst/MetaHookSv,6,97.07652622527945,2025-02-28T03:07:45
geoidesic/foundryvtt-actor-studio,7,97.03779366700715,2025-03-15T07:17:48
different-ai/hypr-v0,87,97.03632887189293,2024-11-05T11:38:53
Dimillian/IcySky,1,96.96969696969697,2025-01-30T04:27:30
ghuntley/ghuntley,20,96.96969696969697,2025-02-03T08:37:12
diveagents/dive,7,96.90721649484536,2025-02-23T11:28:31
tiptiz/editor,4,96.85534591194968,2025-03-04T23:11:32
indiesoftby/defold-sharp-sprite,1,96.82539682539682,2024-10-22T19:54:03
BodhiSearch/BodhiApp,17,96.81571815718158,2024-09-22T06:14:51
i-am-alice/3rd-devs,1,96.72131147540983,2024-09-14T08:24:29
dotneet/aica,6,96.71641791044776,2025-02-21T00:29:35
XingQiPan/card-creation,1,96.64804469273743,2025-03-26T05:37:17
DutchCryptoDad/bamboo-ta,5,96.55172413793103,2025-02-13T12:58:31
arcanis/terminosaurus,2,96.42857142857143,2025-01-15T08:24:41
isboyjc/isle-editor,2,96.3855421686747,2024-12-29T11:09:28
The-Pocket/PocketFlow,27,96.36075949367088,2025-02-22T20:07:34
publicrust/rust-analyzer,4,96.1864406779661,2025-01-09T06:29:13
privatefolio/privatefolio,10,96.12983770287141,2025-03-19T16:15:15
thelastbackspace/traceperf,1,96.0,2025-03-15T15:04:49
dustland/agentok,3,95.99406528189911,2025-01-04T06:36:44
brandon-schabel/octoprompt,26,95.9731543624161,2025-01-30T10:49:30
transitive-bullshit/severance-wellness-memes,3,95.8904109589041,2025-03-01T13:49:29
lonestone/rolebase.io,1,95.83333333333334,2025-03-23T19:46:19
appl-team/appl,2,95.83333333333334,2024-12-16T19:44:43
osbytes/crypt.fyi,2,95.65217391304348,2024-12-29T14:54:10
coollabsio/cli-coolify,1,95.65217391304348,2025-01-21T05:12:26
Cidan/BetterBags,3,95.64564564564564,2024-08-28T01:52:10
kargnas/laravel-ai-translator,5,95.60975609756098,2025-03-09T14:07:47
Just-Understanding-Data-Ltd/ai-coding-with-cursor,19,95.45454545454545,2024-09-24T05:30:04
nwiizo/tfmcp,2,95.45454545454545,2025-03-08T10:53:52
harrisonwang/url-shortener,2,95.23809523809523,2024-09-09T04:00:40
buster-so/buster,160,95.18821022727273,2025-01-20T16:11:35
ShunL12324/comfy-portal,5,95.18072289156626,2025-01-22T01:05:51
pockethost/pockethost,4,95.17490952955367,2024-11-21T07:39:52
elbwalker/walkerOS,2,95.1586655817738,2025-02-14T09:37:00
waynesutton/promptstack,5,95.1219512195122,2025-01-29T22:08:40
AIDotNet/Text2Sql.Net,2,95.1219512195122,2025-03-14T04:12:49
xzq-xu/jvm-mcp-server,15,95.1219512195122,2025-03-10T14:55:12
constROD/template-hono-prisma-kysely,19,95.0413223140496,2025-03-02T06:54:48
kokonut-labs/kokonutui,2,94.75308641975309,2024-11-06T09:46:56
Galaxies-dev/threads-clone-react-native,2,94.73684210526315,2024-09-18T09:15:29
Shpigford/society-fail,10,94.73684210526315,2024-08-28T10:55:38
rohitrango/FireANTs,2,94.5945945945946,2025-03-24T11:55:45
utensils/mcp-nixos,51,94.54022988505747,2025-03-20T02:15:15
turbostarter/extro,2,94.44444444444444,2024-11-02T15:02:21
ifokeev/telegram-ai-agent,2,94.44444444444444,2024-10-10T12:00:59
dgokcin/dotfiles,52,94.39728353140917,2024-05-02T04:58:34
reliverse/cli-ai-app-site-anything-builder,15,94.30379746835443,2024-11-30T07:35:42
somatic-labs/meteorite,6,94.24778761061947,2024-10-27T02:55:05
trycompai/comp,64,94.22519509476032,2025-01-15T15:43:57
imhonglu/new-wheels,4,94.19354838709677,2025-01-07T01:36:54
kaushikgopal/playground-android,5,93.98148148148148,2025-02-12T01:53:28
wardbox/roke,7,93.75,2024-11-14T04:23:49
exa-labs/company-researcher,1,93.61702127659575,2024-12-22T11:54:27
yenche123/liubai,4,93.45148044089042,2024-08-25T12:50:54
blacktop/ipsw,5,93.43517753922377,2024-09-25T15:45:18
